Site Name ,ODYTEST4594
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4594


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

596,29/05/2023 , 06:00:00,104,104
597,29/05/2023 , 06:15:00,178,178
598,29/05/2023 , 06:30:00,325,325
599,29/05/2023 , 06:45:00,493,493
600,29/05/2023 , 07:00:00,633,633
601,29/05/2023 , 07:15:00,974,974
602,29/05/2023 , 07:30:00,1085,1085
603,29/05/2023 , 07:45:00,1348,1348
604,29/05/2023 , 08:00:00,1388,1388
605,29/05/2023 , 08:15:00,1777,1777
606,29/05/2023 , 08:30:00,1240,1240
607,29/05/2023 , 08:45:00,1106,1106
608,29/05/2023 , 09:00:00,1079,1079
609,29/05/2023 , 09:15:00,1064,1064
610,29/05/2023 , 09:30:00,1206,1206
611,29/05/2023 , 09:45:00,1243,1243
612,29/05/2023 , 10:00:00,1525,1525
613,29/05/2023 , 10:15:00,1547,1547
614,29/05/2023 , 10:30:00,1403,1403
615,29/05/2023 , 10:45:00,1994,1994
616,29/05/2023 , 11:00:00,3241,3241
617,29/05/2023 , 11:15:00,2352,2352
618,29/05/2023 , 11:30:00,2842,2842
619,29/05/2023 , 11:45:00,2888,2888
620,29/05/2023 , 12:00:00,2399,2399
621,29/05/2023 , 12:15:00,2831,2831
622,29/05/2023 , 12:30:00,3134,3134
623,29/05/2023 , 12:45:00,3589,3589
624,29/05/2023 , 13:00:00,3162,3162
625,29/05/2023 , 13:15:00,2704,2704
626,29/05/2023 , 13:30:00,3404,3404
