"Plot Title: 21235771"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","High Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","Temp, °C (LGR S/N: 21235771, SEN S/N: 21235771)","Specific Conductance, μS/cm (LGR S/N: 21235771)","Salinity, ppt (LGR S/N: 21235771)"
186,05/24/23 11:15:00 PM,31963.7,29780.4,10.79,40766.6,26.0662
187,05/24/23 11:30:00 PM,32194.8,29946.6,10.76,41022.5,26.2481
188,05/24/23 11:45:00 PM,32300.2,29977.0,10.74,41084.0,26.2919
189,05/25/23 12:00:00 AM,32247.5,29990.3,10.74,41102.1,26.3047
190,05/25/23 12:15:00 AM,32247.5,29937.1,10.75,41019.7,26.2461
191,05/25/23 12:30:00 AM,32247.5,29954.2,10.75,41042.9,26.2626
192,05/25/23 12:45:00 AM,32194.8,29954.2,10.75,41042.9,26.2626
193,05/25/23 01:00:00 AM,32247.5,29942.8,10.77,41007.3,26.2373
194,05/25/23 01:15:00 AM,32240.3,29937.1,10.79,40979.5,26.2175
195,05/25/23 01:30:00 AM,31519.1,29523.9,11.04,40171.7,25.6439
196,05/25/23 01:45:00 AM,30818.8,29023.0,11.40,39150.2,24.9211
197,05/25/23 02:00:00 AM,30612.7,28904.9,11.38,39011.0,24.8228
198,05/25/23 02:15:00 AM,31185.1,29333.0,11.25,39710.0,25.3169
199,05/25/23 02:30:00 AM,31512.1,29488.6,11.11,40055.5,25.5616
200,05/25/23 02:45:00 AM,31729.9,29622.8,11.01,40334.8,25.7596
201,05/25/23 03:00:00 AM,31897.4,29705.2,10.92,40535.2,25.9019
202,05/25/23 03:15:00 AM,32180.4,29874.7,10.79,40894.7,26.1572
203,05/25/23 03:30:00 AM,32355.5,29996.0,10.70,41150.2,26.3389
204,05/25/23 03:45:00 AM,32699.3,30194.4,10.54,41583.3,26.6474
205,05/25/23 04:00:00 AM,32765.2,30336.6,10.43,41890.9,26.8667
206,05/25/23 04:15:00 AM,32765.2,30406.1,10.34,42079.3,27.0012
207,05/25/23 04:30:00 AM,32765.2,30491.4,10.25,42290.2,27.1519
208,05/25/23 04:45:00 AM,32765.2,30472.0,10.30,42211.4,27.0956
209,05/25/23 05:00:00 AM,32765.2,30342.4,10.41,41919.5,26.8871
210,05/25/23 05:15:00 AM,32694.5,30223.2,10.52,41643.2,26.6901
211,05/25/23 05:30:00 AM,32408.5,30041.6,10.62,41293.3,26.4408
212,05/25/23 05:45:00 AM,32175.7,29916.3,10.81,40931.2,26.1832
213,05/25/23 06:00:00 AM,32068.3,29844.5,10.87,40773.7,26.0713
214,05/25/23 06:15:00 AM,31951.9,29765.3,10.92,40616.6,25.9597
215,05/25/23 06:30:00 AM,32175.7,29844.5,10.87,40773.7,26.0713
216,05/25/23 06:45:00 AM,31944.8,29733.4,10.97,40523.9,25.8938
217,05/25/23 07:00:00 AM,32108.8,29836.9,11.02,40614.2,25.9580
218,05/25/23 07:15:00 AM,31185.1,29251.9,11.25,39601.0,25.2397
219,05/25/23 07:30:00 AM,30764.3,29034.0,11.32,39241.2,24.9854
220,05/25/23 07:45:00 AM,30714.4,28983.0,11.36,39134.7,24.9101
221,05/25/23 08:00:00 AM,30714.4,28933.9,11.42,39011.9,24.8234
222,05/25/23 08:15:00 AM,30354.4,28742.4,11.57,38614.7,24.5433
223,05/25/23 08:30:00 AM,30154.1,28589.9,11.67,38318.3,24.3344
224,05/25/23 08:45:00 AM,30358.9,28780.2,11.58,38655.8,24.5722
225,05/25/23 09:00:00 AM,30410.4,28801.8,11.60,38665.9,24.5793
226,05/25/23 09:15:00 AM,30511.3,28865.1,11.58,38769.0,24.6521
227,05/25/23 09:30:00 AM,30363.4,28796.4,11.58,38677.4,24.5874
228,05/25/23 09:45:00 AM,29488.3,28138.5,11.87,37535.4,23.7841
229,05/25/23 10:00:00 AM,29292.2,28021.3,12.09,37182.4,23.5364
230,05/25/23 10:15:00 AM,29483.9,28157.8,11.99,37452.5,23.7258
231,05/25/23 10:30:00 AM,28176.6,27224.2,11.97,36236.0,22.8742
232,05/25/23 10:45:00 AM,29479.6,28194.6,12.07,37428.9,23.7093
233,05/25/23 11:00:00 AM,29574.9,28277.4,11.94,37655.9,23.8686
234,05/25/23 11:15:00 AM,29290.0,28000.4,12.22,37039.0,23.4359
235,05/25/23 11:30:00 AM,29193.6,27998.6,12.16,37090.0,23.4717
236,05/25/23 11:45:00 AM,29616.2,28236.9,12.12,37439.7,23.7168
237,05/25/23 12:00:00 PM,29757.8,28356.9,12.17,37552.6,23.7961
238,05/25/23 12:15:00 PM,29333.0,28063.2,12.28,37068.1,23.4563
239,05/25/23 12:30:00 PM,30001.5,28486.5,12.12,37768.5,23.9477
240,05/25/23 12:45:00 PM,29427.8,28156.0,12.43,37056.5,23.4481
241,05/25/23 01:00:00 PM,29900.2,28450.9,12.29,37567.9,23.8069
242,05/25/23 01:15:00 PM,29803.7,28429.6,12.31,37522.0,23.7746
243,05/25/23 01:30:00 PM,28959.4,27812.9,12.57,36485.3,23.0484
244,05/25/23 01:45:00 PM,28731.5,27640.7,12.69,36157.1,22.8190
245,05/25/23 02:00:00 PM,28951.0,27771.5,12.73,36292.5,22.9136
246,05/25/23 02:15:00 PM,29089.1,27847.5,12.75,36373.9,22.9705
247,05/25/23 02:30:00 PM,28683.3,27573.9,13.00,35805.1,22.5734
248,05/25/23 02:45:00 PM,28771.5,27651.0,12.93,35964.4,22.6845
249,05/25/23 03:00:00 PM,28547.3,27456.2,13.19,35492.9,22.3559
250,05/25/23 03:15:00 PM,28725.2,27591.0,13.15,35699.9,22.5001
251,05/25/23 03:30:00 PM,28725.2,27621.9,13.16,35731.2,22.5219
252,05/25/23 03:45:00 PM,28813.6,27690.5,13.24,35751.7,22.5362
253,05/25/23 04:00:00 PM,28857.9,27716.3,13.24,35784.8,22.5593
254,05/25/23 04:15:00 PM,28900.2,27778.4,13.30,35813.7,22.5795
255,05/25/23 04:30:00 PM,28900.2,27749.1,13.36,35725.5,22.5179
256,05/25/23 04:45:00 PM,28898.1,27742.2,13.43,35657.7,22.4707
257,05/25/23 05:00:00 PM,28765.2,27639.0,13.56,35417.1,22.3031
