#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
349,05/26/2023 15:15:00,13.050,,,,
350,05/26/2023 15:30:00,12.857,,,,
351,05/26/2023 15:45:00,12.782,,,,
352,05/26/2023 16:00:00,12.846,,,,
353,05/26/2023 16:15:00,12.803,,,,
354,05/26/2023 16:30:00,13.661,,,,
355,05/26/2023 16:45:00,14.015,,,,
356,05/26/2023 17:00:00,13.500,,,,
357,05/26/2023 17:15:00,13.436,,,,
358,05/26/2023 17:30:00,14.187,,,,
359,05/26/2023 17:45:00,14.905,,,,
360,05/26/2023 18:00:00,14.444,,,,
361,05/26/2023 18:15:00,14.262,,,,
362,05/26/2023 18:30:00,13.425,,,,
363,05/26/2023 18:45:00,12.792,,,,
364,05/26/2023 19:00:00,12.599,,,,
365,05/26/2023 19:15:00,12.599,,,,
366,05/26/2023 19:30:00,12.631,,,,
367,05/26/2023 19:45:00,12.599,,,,
368,05/26/2023 20:00:00,12.406,,,,
369,05/26/2023 20:15:00,12.299,,,,
370,05/26/2023 20:30:00,12.095,,,,
371,05/26/2023 20:45:00,12.277,,,,
372,05/26/2023 21:00:00,11.795,,,,
373,05/26/2023 21:15:00,12.374,,,,
374,05/26/2023 21:30:00,13.178,,,,
375,05/26/2023 21:45:00,12.664,,,,
376,05/26/2023 22:00:00,11.527,,,,
377,05/26/2023 22:15:00,11.194,,,,
378,05/26/2023 22:30:00,10.690,,,,
379,05/26/2023 22:45:00,10.390,,,,
380,05/26/2023 23:00:00,10.390,,,,
381,05/26/2023 23:15:00,10.519,,,,
382,05/26/2023 23:30:00,10.744,,,,
383,05/26/2023 23:45:00,11.570,,,,
384,05/27/2023 00:00:00,12.009,,,,
385,05/27/2023 00:15:00,12.170,,,,
386,05/27/2023 00:30:00,12.181,,,,
387,05/27/2023 00:45:00,11.966,,,,
388,05/27/2023 01:00:00,11.848,,,,
389,05/27/2023 01:15:00,11.848,,,,
390,05/27/2023 01:30:00,11.870,,,,
391,05/27/2023 01:45:00,11.741,,,,
392,05/27/2023 02:00:00,11.934,,,,
393,05/27/2023 02:15:00,12.009,,,,
394,05/27/2023 02:30:00,12.009,,,,
395,05/27/2023 02:45:00,11.999,,,,
396,05/27/2023 03:00:00,11.999,,,,
397,05/27/2023 03:15:00,11.999,,,,
398,05/27/2023 03:30:00,11.956,,,,
399,05/27/2023 03:45:00,11.870,,,,
400,05/27/2023 04:00:00,11.934,,,,
401,05/27/2023 04:15:00,12.020,,,,
402,05/27/2023 04:30:00,11.741,,,,
403,05/27/2023 04:45:00,11.655,,,,
404,05/27/2023 05:00:00,11.452,,,,
405,05/27/2023 05:15:00,11.280,,,,
406,05/27/2023 05:30:00,10.872,,,,
407,05/27/2023 05:45:00,10.905,,,,
408,05/27/2023 06:00:00,10.915,,,,
409,05/27/2023 06:15:00,10.819,,,,
410,05/27/2023 06:30:00,11.291,,,,
411,05/27/2023 06:45:00,11.602,,,,
412,05/27/2023 07:00:00,11.763,,,,
413,05/27/2023 07:15:00,11.934,,,,
414,05/27/2023 07:30:00,11.966,,,,
415,05/27/2023 07:45:00,11.881,,,,
416,05/27/2023 08:00:00,11.816,,,,
417,05/27/2023 08:15:00,12.042,,,,
418,05/27/2023 08:30:00,12.342,,,,
419,05/27/2023 08:45:00,12.578,,,,
420,05/27/2023 09:00:00,12.631,,,,
421,05/27/2023 09:15:00,12.642,,,,
422,05/27/2023 09:30:00,12.181,,,,
423,05/27/2023 09:45:00,12.106,,,,
424,05/27/2023 10:00:00,12.159,,,,
425,05/27/2023 10:15:00,12.117,,,,
426,05/27/2023 10:30:00,11.977,,,,
427,05/27/2023 10:45:00,11.795,,,,
428,05/27/2023 11:00:00,11.763,,,,
429,05/27/2023 11:15:00,11.741,,,,
430,05/27/2023 11:30:00,11.720,,,,
431,05/27/2023 11:45:00,11.741,,,,
432,05/27/2023 12:00:00,11.827,,,,
433,05/27/2023 12:15:00,11.999,,,,
434,05/27/2023 12:30:00,12.192,,,,
435,05/27/2023 12:45:00,12.374,,,,
436,05/27/2023 13:00:00,12.546,,,,
437,05/27/2023 13:15:00,12.696,,,,
438,05/27/2023 13:30:00,12.835,,,,
439,05/27/2023 13:45:00,12.192,,,,
440,05/27/2023 14:00:00,12.031,,,,
441,05/27/2023 14:15:00,12.052,,,,
442,05/27/2023 14:30:00,12.117,,,,
443,05/27/2023 14:45:00,12.256,,,,
444,05/27/2023 15:00:00,12.406,,,,
445,05/27/2023 15:15:00,12.599,,,,
446,05/27/2023 15:30:00,12.760,,,,
447,05/27/2023 15:45:00,12.814,,,,
448,05/27/2023 16:00:00,12.867,,,,
449,05/27/2023 16:15:00,12.835,,,,
450,05/27/2023 16:30:00,12.782,,,,
451,05/27/2023 16:45:00,13.093,,,,
452,05/27/2023 17:00:00,13.725,,,,
453,05/27/2023 17:15:00,14.165,,,,
454,05/27/2023 17:30:00,14.519,,,,
455,05/27/2023 17:45:00,14.894,,,,
456,05/27/2023 18:00:00,15.398,,,,
457,05/27/2023 18:15:00,15.388,,,,
458,05/27/2023 18:30:00,15.259,,,,
459,05/27/2023 18:45:00,15.077,,,,
460,05/27/2023 19:00:00,14.894,,,,
461,05/27/2023 19:15:00,14.369,,,,
462,05/27/2023 19:30:00,13.318,,,,
463,05/27/2023 19:45:00,13.200,,,,
464,05/27/2023 20:00:00,12.749,,,,
465,05/27/2023 20:15:00,12.438,,,,
466,05/27/2023 20:30:00,12.395,,,,
467,05/27/2023 20:45:00,12.438,,,,
468,05/27/2023 21:00:00,12.513,,,,
469,05/27/2023 21:15:00,12.631,,,,
470,05/27/2023 21:30:00,12.535,,,,
471,05/27/2023 21:45:00,12.503,,,,
472,05/27/2023 22:00:00,12.471,,,,
473,05/27/2023 22:15:00,12.245,,,,
474,05/27/2023 22:30:00,11.452,,,,
475,05/27/2023 22:45:00,11.023,,,,
