Site Name ,6010-ZM
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6010


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

577,29/05/2023 , 01:15:00,0,0
578,29/05/2023 , 01:30:00,0,0
579,29/05/2023 , 01:45:00,0,0
580,29/05/2023 , 02:00:00,0,0
581,29/05/2023 , 02:15:00,0,0
582,29/05/2023 , 02:30:00,0,0
583,29/05/2023 , 02:45:00,0,0
584,29/05/2023 , 03:00:00,0,0
585,29/05/2023 , 03:15:00,0,0
586,29/05/2023 , 03:30:00,0,0
587,29/05/2023 , 03:45:00,0,0
588,29/05/2023 , 04:00:00,0,0
589,29/05/2023 , 04:15:00,0,0
590,29/05/2023 , 04:30:00,0,0
591,29/05/2023 , 04:45:00,0,0
592,29/05/2023 , 05:00:00,0,0
593,29/05/2023 , 05:15:00,5,5
594,29/05/2023 , 05:30:00,20,20
595,29/05/2023 , 05:45:00,54,54
596,29/05/2023 , 06:00:00,78,78
597,29/05/2023 , 06:15:00,145,145
598,29/05/2023 , 06:30:00,251,251
599,29/05/2023 , 06:45:00,196,196
600,29/05/2023 , 07:00:00,250,250
601,29/05/2023 , 07:15:00,297,297
602,29/05/2023 , 07:30:00,327,327
603,29/05/2023 , 07:45:00,318,318
604,29/05/2023 , 08:00:00,405,405
605,29/05/2023 , 08:15:00,484,484
606,29/05/2023 , 08:30:00,532,532
607,29/05/2023 , 08:45:00,750,750
608,29/05/2023 , 09:00:00,1058,1058
609,29/05/2023 , 09:15:00,1999,1999
610,29/05/2023 , 09:30:00,2592,2592
611,29/05/2023 , 09:45:00,3516,3516
612,29/05/2023 , 10:00:00,2507,2507
613,29/05/2023 , 10:15:00,3920,3920
614,29/05/2023 , 10:30:00,4052,4052
615,29/05/2023 , 10:45:00,4057,4057
616,29/05/2023 , 11:00:00,4405,4405
617,29/05/2023 , 11:15:00,4421,4421
618,29/05/2023 , 11:30:00,4568,4568
619,29/05/2023 , 11:45:00,4412,4412
620,29/05/2023 , 12:00:00,4967,4967
621,29/05/2023 , 12:15:00,5004,5004
622,29/05/2023 , 12:30:00,5034,5034
623,29/05/2023 , 12:45:00,5147,5147
