Site Name ,ODYLIGHT-6420
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6420


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

480,28/05/2023 , 01:00:00,0,0
481,28/05/2023 , 01:15:00,0,0
482,28/05/2023 , 01:30:00,0,0
483,28/05/2023 , 01:45:00,0,0
484,28/05/2023 , 02:00:00,0,0
485,28/05/2023 , 02:15:00,0,0
486,28/05/2023 , 02:30:00,0,0
487,28/05/2023 , 02:45:00,0,0
488,28/05/2023 , 03:00:00,0,0
489,28/05/2023 , 03:15:00,0,0
490,28/05/2023 , 03:30:00,0,0
491,28/05/2023 , 03:45:00,0,0
492,28/05/2023 , 04:00:00,0,0
493,28/05/2023 , 04:15:00,0,0
494,28/05/2023 , 04:30:00,0,0
495,28/05/2023 , 04:45:00,0,0
496,28/05/2023 , 05:00:00,0,0
497,28/05/2023 , 05:15:00,5,5
498,28/05/2023 , 05:30:00,21,21
499,28/05/2023 , 05:45:00,59,59
500,28/05/2023 , 06:00:00,119,119
501,28/05/2023 , 06:15:00,193,193
502,28/05/2023 , 06:30:00,308,308
503,28/05/2023 , 06:45:00,436,436
504,28/05/2023 , 07:00:00,579,579
505,28/05/2023 , 07:15:00,798,798
506,28/05/2023 , 07:30:00,1064,1064
507,28/05/2023 , 07:45:00,1503,1503
508,28/05/2023 , 08:00:00,1441,1441
509,28/05/2023 , 08:15:00,903,903
510,28/05/2023 , 08:30:00,803,803
511,28/05/2023 , 08:45:00,913,913
512,28/05/2023 , 09:00:00,934,934
513,28/05/2023 , 09:15:00,860,860
514,28/05/2023 , 09:30:00,976,976
515,28/05/2023 , 09:45:00,1284,1284
516,28/05/2023 , 10:00:00,1296,1296
517,28/05/2023 , 10:15:00,1629,1629
518,28/05/2023 , 10:30:00,1519,1519
519,28/05/2023 , 10:45:00,1198,1198
520,28/05/2023 , 11:00:00,1340,1340
521,28/05/2023 , 11:15:00,1598,1598
522,28/05/2023 , 11:30:00,1831,1831
523,28/05/2023 , 11:45:00,1661,1661
524,28/05/2023 , 12:00:00,3422,3422
525,28/05/2023 , 12:15:00,3223,3223
526,28/05/2023 , 12:30:00,3106,3106
527,28/05/2023 , 12:45:00,3000,3000
528,28/05/2023 , 13:00:00,3721,3721
529,28/05/2023 , 13:15:00,4011,4011
530,28/05/2023 , 13:30:00,3869,3869
531,28/05/2023 , 13:45:00,3542,3542
532,28/05/2023 , 14:00:00,3592,3592
533,28/05/2023 , 14:15:00,3549,3549
534,28/05/2023 , 14:30:00,3551,3551
535,28/05/2023 , 14:45:00,3659,3659
536,28/05/2023 , 15:00:00,3165,3165
537,28/05/2023 , 15:15:00,3658,3658
538,28/05/2023 , 15:30:00,3377,3377
539,28/05/2023 , 15:45:00,2982,2982
540,28/05/2023 , 16:00:00,2757,2757
541,28/05/2023 , 16:15:00,2672,2672
542,28/05/2023 , 16:30:00,2533,2533
543,28/05/2023 , 16:45:00,2324,2324
544,28/05/2023 , 17:00:00,2132,2132
545,28/05/2023 , 17:15:00,2024,2024
546,28/05/2023 , 17:30:00,1964,1964
547,28/05/2023 , 17:45:00,1800,1800
548,28/05/2023 , 18:00:00,1639,1639
549,28/05/2023 , 18:15:00,1422,1422
550,28/05/2023 , 18:30:00,1204,1204
551,28/05/2023 , 18:45:00,1058,1058
552,28/05/2023 , 19:00:00,916,916
553,28/05/2023 , 19:15:00,740,740
554,28/05/2023 , 19:30:00,554,554
555,28/05/2023 , 19:45:00,392,392
556,28/05/2023 , 20:00:00,282,282
557,28/05/2023 , 20:15:00,179,179
558,28/05/2023 , 20:30:00,106,106
559,28/05/2023 , 20:45:00,58,58
560,28/05/2023 , 21:00:00,26,26
561,28/05/2023 , 21:15:00,7,7
562,28/05/2023 , 21:30:00,1,1
563,28/05/2023 , 21:45:00,0,0
564,28/05/2023 , 22:00:00,0,0
565,28/05/2023 , 22:15:00,0,0
566,28/05/2023 , 22:30:00,0,0
567,28/05/2023 , 22:45:00,0,0
568,28/05/2023 , 23:00:00,0,0
569,28/05/2023 , 23:15:00,0,0
570,28/05/2023 , 23:30:00,0,0
571,28/05/2023 , 23:45:00,0,0
572,28/05/2023 , 24:00:00,0,0
573,29/05/2023 , 00:15:00,0,0
574,29/05/2023 , 00:30:00,0,0
575,29/05/2023 , 00:45:00,0,0
576,29/05/2023 , 01:00:00,0,0
577,29/05/2023 , 01:15:00,0,0
578,29/05/2023 , 01:30:00,0,0
579,29/05/2023 , 01:45:00,0,0
580,29/05/2023 , 02:00:00,0,0
581,29/05/2023 , 02:15:00,0,0
582,29/05/2023 , 02:30:00,0,0
583,29/05/2023 , 02:45:00,0,0
584,29/05/2023 , 03:00:00,0,0
585,29/05/2023 , 03:15:00,0,0
586,29/05/2023 , 03:30:00,0,0
587,29/05/2023 , 03:45:00,0,0
588,29/05/2023 , 04:00:00,0,0
589,29/05/2023 , 04:15:00,0,0
590,29/05/2023 , 04:30:00,0,0
